ID_1	COORD_X	COORD_Y	AÑO	PRECIO_OFERTA	PRECIO_INTEGRAL	PERIODO	ESTRATO	BARRIO	UPZ	TIPO_INMUEBLE	BAÑOS	COCINAS	ALCOBAS	UBICACIÓN_LOTE	INFLUENCIA_VIA	ELEVACION_MSNM	TOPOGRAFIA	DENS_POBL	AREA	DIST_CULT	DIST_SUPERM	DIST_HUMEDAL	DIST_SALUD	DIST_COMERCIAL	DIST_RIO	DIST_TRANSMILENIO	DIST_CLUB	DIST_CAI	DIST_EDU	DIST_VIA	DIST_PARQUE
157	96995,524	118052,611	2005	3,5e+07	712830,957	4	3	84	11	0	1	1	2	2	1	2551	1	262,03	49,1000000158523	3622,62427502481	3509,01065064846	383,323854815127	1569,75985099859	564,662768289731	1361,32278186814	7526,66219060947	5821,74113779329	1957,670216277	437,480446588137	1036,31527061635	97,3587482607622
158	96926,5	118073,094	2005	2,8e+07	560000	4	3	84	11	0	2	1	3	2	1	2551	1	262,03	50	3682,85008004549	3569,23645566914	311,32760797107	1629,98565601927	624,88857331041	1289,59682859754	7586,88802738372	5881,96697456755	2017,89602129768	497,706251608816	1096,54110739061	68,8063692025155
159	96542,317	117088,549	2005	3,3e+07	672097,76	4	3	83	11	0	1	1	2	2	1	2550	1	262,03	49,0999999761939	3131,98346392869	3018,36983955234	1523,09546679744	863,871215852257	616,271914283977	1327,12931480785	6708,85619683465	5331,10050759479	922,464092597292	114,080022009736	545,674686766183	36,9435690701277
16	99156,191	116175,763	2005	7e+07	801832,761	4	4	51	9	0	2	1	3	1	1	2560	1	174,6	87,2999999559758	229,15727113448	484,446820644741	3795,240574218	283,55933084718	172,676054217022	2809,55416982945	5935,10356735247	2708,05762019656	211,023557903881	66,3511682511654	792,859648109788	153,900443419484
160	96619,971	117054,263	2005	3,5e+07	682261,209	4	3	83	11	0	2	1	3	2	1	2550	1	262,03	51,299999968194	3048,12362544703	2934,51000107068	1606,95530527911	783,232685098402	700,13175276564	1411,45406786178	6628,21767431935	5247,24059734536	841,825561843436	72,384876939477	461,81477651675	53,5207056068179
161	96531,247	117044,736	2005	4,5e+07	709779,18	4	3	83	11	1	1	1	3	2	1	2550	1	262,03	63,3999999830933	3164,95517806791	3051,3126866405	1549,31434474619	834,116333799142	642,49079223272	1330,13576328433	6679,10119326563	5364,04305722804	892,709210544177	84,3251399566205	578,646202805038	39,1359920248351
162	96543,971	117152,254	2005	3,6e+07	759493,671	4	3	84	11	0	1	1	2	1	1	2553	1	262,03	47,39999999289	3099,96286813725	2986,3492437609	1483,18305957241	910,272152045256	576,359507058948	1311,50024357434	6755,25703193891	5299,07973445593	959,688335867924	160,700554713614	513,653913627317	29,9992845219274
163	96626,498	117197,073	2005	4,2e+07	886075,949	4	3	84	11	0	1	1	2	7	1	2554	1	262,03	47,4000000196371	3459,81252826578	3346,19890388942	1327,57614953634	1260,09727910144	420,752597022874	1381,83361554608	7074,99241139176	5658,9293740768	1220,35410261471	473,108059262496	873,503553248191	66,5603528816728
164	96304,842	117146,938	2005	3,3e+07	684647,303	4	3	83	11	0	1	1	2	2	1	2552	1	262,03	48,1999999932812	3371,76651486966	3258,15289049331	1610,60038875229	1168,05337713912	748,979260409622	1083,05118774973	6868,49657024443	5570,88343802126	1117,78497478219	373,445970455659	785,457617192651	40,2837746882611
165	96320,35	117155,144	2005	3,4e+07	705394,191	4	3	83	11	0	1	1	2	2	1	2552	1	262,03	48,1999999912106	3321,54481112448	3207,93118674812	1465,13357621022	1121,82956196014	698,757556664433	1095,39196961032	6895,2059591688	5520,66171022058	1082,08638547341	317,035139109885	735,235889391966	42,5887261977689
