COORD_X,COORD_Y,PRECIO_OFERTA,PRECIO_INTEGRAL,ESTRATO,UPZ,TIPO_INMUEBLE,BAÑOS,COCINAS,ALCOBAS,UBICACION_LOTE,INFLUENCIA_VIA,AREA,DIST_SALUD,DIST_CAI,DIST_EDU,DIST_VIA
95665.516,116248.955,52000000.000,322180.917,2,11,1,2,2,5,2,1,161.4,915.9209771,1319.308453,298.9393804,1899.061274
98072.144,115301.055,80000000.000,287873.336,3,10,1,2,2,6,2,1,277.8999997,1354.53954,316.7719775,260.0776426,699.6349539
98541.979,116492.288,47000000.000,633423.181,4,9,0,2,1,3,2,1,74.19999995,825.7862792,909.3747481,390.2924987,534.4914988
98494.621,116539.182,58000000.000,703712.691,4,9,0,2,1,3,2,1,82.42000001,978.6689944,1062.257463,472.1089947,586.6369735
98909.77,115933.693,60000000.000,500834.725,3,9,1,1,1,4,2,1,119.7999999,745.2337681,403.8467155,323.9209175,472.9109775
98012.726,115718.086,40000000.000,716845.878,3,10,0,2,1,3,1,2,55.80000001,1795.310324,763.7452919,135.6484532,692.8085057
98237.994,115919.922,70000000.000,228683.437,2,10,1,2,2,7,2,1,306.0999997,1507.837823,928.105244,32.37678351,619.4689888
99075.659,116119.352,41000000.000,660225.443,3,9,0,2,1,3,4,1,62.09999998,375.7383239,170.8905554,90.54913072,700.6806132
99052.485,116053.868,40000000.000,644122.383,3,9,0,2,1,3,4,1,62.10000002,502.914587,159.9386149,80.01281691,579.9207909
99112.422,115943.529,200000000.000,824844.311,3,9,1,1,1,6,2,1,242.4699999,500.952391,161.789594,170.9745152,608.134899
99044.077,115827.084,80000000.000,738007.38,3,9,1,1,1,3,2,1,108.4,423.6347628,324.4818962,333.6668173,525.4067436
99089.83,116241.945,63000000.000,723306.544,4,9,0,2,1,3,2,1,87.10000002,290.859592,255.8512631,11.56650502,787.0122979
97930.052,115118.874,75000000.000,418060.201,2,10,1,2,2,6,8,1,179.3999999,1184.613448,165.4610802,54.98836565,793.0443957
98942.424,116227.148,75000000.000,890736.342,4,9,0,2,1,3,5,1,84.2,468.0248217,340.6371902,244.5117174,598.7197952
98959.976,116284.364,95000000.000,810580.205,4,9,0,2,1,3,5,1,117.2,408.0620263,397.921407,251.1401109,658.6826076
98892.449,116250.748,90000000.000,824175.824,4,9,0,2,1,3,5,1,109.2,504.1905717,397.5599941,301.4345214,552.618674
98794.529,116159.044,38500000.000,827956.989,3,9,0,1,1,2,2,1,46.50000001,687.7940612,508.4295106,412.3040378,497.5944961
98629.25,117304.598,43000000.000,711920.53,3,9,0,2,1,3,2,1,60.39999998,1333.821418,888.910289,245.2323166,455.3060476
98601.644,117277.875,43000000.000,711920.53,3,9,0,2,1,3,2,1,60.39999998,1322.694986,1148.240539,267.7174491,444.17964
96357.991,116029.062,30000000.000,931677.019,2,11,1,1,1,4,2,1,32.19999999,25.27276747,723.607867,15.58432419,1420.029551
98952.479,115828.025,185000000.000,991957.105,3,9,1,1,1,4,2,2,186.4999999,511.7171585,406.5683623,327.7095249,613.4891353
97970.248,116134.021,150000000.000,303520.842,2,10,1,3,3,10,2,1,494.1999996,1523.207457,1237.263302,125.8730572,462.4081846
97923.289,116481.919,32000000.000,771084.337,3,10,1,1,1,2,7,1,41.50000002,1678.232465,1622.920016,526.4346616,617.4332132
97753.447,115226.305,55000000.000,265700.483,2,10,1,2,2,6,2,1,207.0000001,1368.127198,184.9423488,181.3915188,514.3272472
98158.971,116184.772,40000000.000,606060.606,2,10,1,1,1,3,2,1,66.00000001,1477.510754,1266.593363,240.0217092,435.7580752
98193.3,116133.423,65000000.000,430463.576,2,10,1,1,1,3,2,1,151.0000001,1465.368819,1185.05258,165.1021161,546.5542144
97863.173,116333.867,28000000.000,455284.553,3,10,1,2,2,4,2,1,61.49999998,1505.690762,1467.08872,356.361587,444.8915055
97909.449,116317.871,30000000.000,487804.878,3,10,0,2,1,3,2,1,61.50000001,1486.921408,1448.319366,337.5922327,426.1221128
97904.808,116320.569,26000000.000,645161.29,3,10,0,1,1,2,2,1,40.30000002,1487.307175,1448.705134,337.9780006,426.5078848
97921.421,116354.089,27000000.000,329670.33,3,10,0,2,1,3,1,1,81.89999992,1524.917261,1486.31522,375.5880865,464.1179839
97904.46,116287.059,38000000.000,488431.877,3,10,0,2,1,3,2,1,77.79999994,1490.009579,1385.885462,275.1583286,429.2102879
97949.127,116309.065,28000000.000,695652.174,3,10,0,1,1,2,2,1,40.24999999,1559.869469,1395.744598,285.0174643,499.0702013
97974.25,116292.311,30000000.000,487804.878,3,10,1,2,2,4,2,1,61.50000001,1585.80578,1361.810463,251.0833293,525.0064249
97925.235,116235.58,38000000.000,798319.328,3,10,0,1,1,2,2,1,47.59999998,1493.582718,1309.298329,198.5711952,432.7834184
97801.19,115151.997,60000000.000,433839.479,2,10,1,2,2,7,2,1,138.3000001,1246.197165,134.1950414,54.10247784,626.6291405
97887.636,116254.283,37000000.000,777310.924,3,10,0,1,1,2,2,1,47.60000002,1454.271717,1348.713427,237.9862935,393.4724642
98460.231,116448.953,72000000.000,906801.008,4,9,0,2,1,3,1,1,79.39999996,971.29979,988.1773088,535.8060094,483.9918805
98510.255,116435.414,80000000.000,1003764.115,4,9,0,2,1,3,1,1,79.70000003,847.0227353,863.2646964,411.5289547,488.3813513
98258.948,116237.913,65000000.000,566695.728,2,10,1,2,2,6,2,1,114.7,1325.575495,1116.763274,101.445224,438.2596861
98255.105,116274.138,54000000.000,301675.978,2,10,1,2,2,6,7,1,178.9999998,1381.869156,1173.056935,157.738885,468.7168394
98227.397,116281.71,75000000.000,501672.241,2,10,1,2,2,6,7,1,149.4999999,1406.223446,1197.411225,182.0931752,438.3826672
98079.186,116278.452,55000000.000,467687.075,3,10,1,2,1,5,2,1,117.6,1518.132728,1309.320507,256.3874715,476.3800778
98110.406,116143.535,65000000.000,501543.21,3,10,1,2,2,6,2,1,129.6,1536.046835,1208.057281,190.1385972,494.2941646
98114.953,115997.784,57000000.000,226730.31,2,10,1,2,2,6,2,1,251.4000003,1630.108953,1069.233629,42.70539793,507.4098171
98129.559,116023.853,63000000.000,564516.129,2,10,1,2,2,7,2,1,111.6,1600.227287,1099.115295,72.58706394,537.291483
97795.635,115154.257,75000000.000,382262.997,2,10,1,2,2,7,2,1,196.2,1252.194292,140.1921691,60.09960554,620.6320128
98064.073,116058.13,45000000.000,417439.703,2,10,1,2,1,6,1,1,107.8,1617.899913,1091.263988,176.4280243,479.2253877
97852.557,116088.634,32000000.000,208877.285,2,10,1,1,1,4,2,1,153.1999997,1373.026568,1211.501839,187.1933558,234.3521536
97887.404,116141.606,65000000.000,685654.008,2,10,1,1,1,4,2,1,94.80000006,1492.811053,1221.81126,197.5027763,354.1366422
97875.1,116065.284,95000000.000,447690.858,2,10,1,2,2,7,2,1,212.1999998,1415.308071,1144.308278,119.9997945,276.6336773
98290.864,117165.051,45000000.000,697674.419,3,9,1,2,2,4,2,1,64.49999996,1321.636949,1460.059113,167.9257887,173.1683727
98371.496,117137.592,43000000.000,706075.534,3,9,1,1,1,3,2,1,60.89999997,1402.970216,1340.722751,48.58942672,268.3170326
98308.169,117057.919,45000000.000,750000,3,9,1,2,2,4,2,1,60,1438.913034,1461.443391,185.0351515,252.357625
98182.551,117016.036,135000000.000,451807.229,3,9,1,4,4,12,7,1,298.7999999,1428.162208,1643.657061,365.7847695,167.2911678
97671.421,115142.946,135500000.000,404840.155,2,10,1,3,3,8,2,1,334.7000003,1299.348325,279.1341536,202.5156662,569.4874437
97675.711,115272.215,30000000.000,141843.972,2,10,1,3,3,9,2,1,211.4999995,1488.40827,324.3528373,261.3435048,390.1319292
97781.162,115132.916,75000000.000,322858.373,2,10,1,2,2,6,2,1,232.2999999,1236.546553,156.877841,76.7852774,630.9206628
97637.173,115143.844,85000000.000,431472.081,2,10,1,2,2,6,2,1,197.0000001,1323.268323,328.1272217,153.2278631,544.3979371
97594.405,115070.805,76000000.000,429864.253,2,10,1,2,2,7,2,1,176.8000002,1272.693029,441.122672,135.0532498,482.7945586
97621.342,115105.191,130000000.000,545530.843,2,10,1,3,3,10,1,1,238.3000002,1296.522977,372.3604734,108.9946114,536.1292921
97582.22,115016.701,105000000.000,360082.305,2,10,1,3,3,9,2,1,291.5999996,1212.263515,465.7729627,199.8588343,446.4621315
96333.117,116223.443,52000000.000,260651.629,2,11,1,2,2,6,2,1,199.5000001,298.408753,586.6933458,196.9882316,1194.585787
96527.028,116297.893,50000000.000,254841.998,2,11,1,2,2,7,2,1,196.2,430.4392458,379.8914253,252.6282414,1026.665345
96541.796,116323.02,60000000.000,255319.149,2,11,1,2,2,4,1,1,234.9999999,471.6196572,330.3593699,250.4406254,995.3086064
96802.597,115778.362,21000000.000,348258.706,2,11,1,1,1,3,7,1,60.30000008,921.6725181,795.5879942,94.8092973,913.6285012
96798.599,116156.217,50000000.000,251004.016,2,11,1,2,2,6,2,1,199.2000001,570.9974693,346.4662801,1.857736342,1183.624069
97849.501,114914.874,80000000.000,535117.057,2,10,1,2,2,6,2,1,149.5,908.6009873,339.413728,27.08825183,708.5904833
97888.374,115005.506,75000000.000,349487.418,2,10,1,3,3,9,1,1,214.6000003,1017.714687,261.4951146,114.9388085,791.0132633
97806.405,114921.04,28000000.000,432098.765,2,10,1,2,2,4,2,1,64.80000006,962.991127,412.2316061,155.7278073,632.4269846
97756.626,114958.814,80000000.000,358422.939,2,10,1,3,3,9,2,1,223.2,1036.895915,353.2807696,200.1512549,590.8535436
96693.396,115083.262,27000000.000,515857.853,2,11,0,2,1,3,2,1,52.33999995,1781.964206,1602.596403,459.7517497,1090.826911
96655.799,115107.604,27000000.000,515857.853,2,11,0,2,1,3,2,1,52.33999995,1669.914589,1474.199227,331.3545741,1141.740565
96748.889,115052.309,26000000.000,5.00E+05,2,11,0,2,1,3,1,1,52,1767.521642,1571.806281,428.961628,1042.347304
96817.015,115121.932,24000000.000,461538.462,2,11,0,2,1,3,1,1,51.99999995,1772.231588,1576.516226,404.908994,845.063185
96962.035,115207.901,28000000.000,522875.817,2,11,0,2,1,3,4,1,53.55,1646.693683,1450.978321,377.0234546,818.8316344
